date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH
2015-07-28,174.52598571777344,102.55463409423828,23.213844299316406,82.57344818115234,105.0199966430664,13.493185043334961,21.110572814941406,73.43067169189453
2015-07-29,175.7265625,102.94223022460938,23.307462692260742,82.45645141601562,105.16999816894531,13.535457611083984,21.227529525756836,73.44673156738281
2015-07-30,175.76824951171875,103.43132781982422,23.521455764770508,82.55004119873047,104.2699966430664,13.484729766845703,21.311067581176758,73.44673156738281
2015-07-31,175.50144958496094,103.31134796142578,23.24950408935547,83.03373718261719,104.93000030517578,13.29873275756836,21.244237899780273,73.44673156738281
2015-08-03,174.90953063964844,102.98833465576172,23.1380558013916,83.28680419921875,104.0999984741211,13.078919410705566,21.294361114501953,73.44673156738281
2015-08-04,174.5676727294922,102.7945785522461,22.89284896850586,82.85714721679688,104.30999755859375,13.155009269714355,21.40296173095703,73.43067169189453
2015-08-05,175.1429443359375,103.58820343017578,23.169260025024414,82.53681945800781,103.93000030517578,13.10428237915039,21.394609451293945,73.43067169189453
2015-08-06,173.70883178710938,101.9271011352539,22.901763916015625,82.82587432861328,104.38999938964844,13.09582805633545,21.352842330932617,73.43067169189453
2015-08-07,173.37538146972656,101.79790496826172,22.9597225189209,83.15399932861328,104.6500015258789,13.045103073120117,21.31942367553711,73.43067169189453
2015-08-10,175.559814453125,102.96067810058594,23.539291381835938,82.81024932861328,105.72000122070312,13.3240966796875,21.219173431396484,73.44673156738281
2015-08-11,173.97567749023438,101.64104461669922,23.004302978515625,83.35716247558594,106.26000213623047,13.146554946899414,21.219173431396484,73.43067169189453
2015-08-12,174.1841583251953,101.99171447753906,23.0622615814209,83.32591247558594,107.75,13.10428237915039,20.99361801147461,73.43067169189453
2015-08-13,173.96737670898438,101.82560729980469,22.745729446411133,83.10713958740234,106.86000061035156,13.045103073120117,21.027034759521484,73.43067169189453
2015-08-14,174.60101318359375,101.98247528076172,22.580778121948242,83.02119445800781,106.8499984741211,12.960558891296387,21.08551025390625,73.41458892822266
