date,SPX,BOND,GOLD,OIL,USD,CASH
2008-07-01,92.35394287109375,56.76815414428711,92.66000366210938,37.92845916748047,18.6461124420166,73.14554595947266
2008-07-02,90.77124786376953,56.90443420410156,93.16999816894531,38.6525764465332,18.55483055114746,73.14554595947266
2008-07-03,90.86477661132812,56.92390823364258,92.05999755859375,38.63592529296875,18.73739242553711,73.14554595947266
2008-07-07,89.93677520751953,57.19001388549805,91.2300033569336,38.111568450927734,18.720794677734375,73.1296615600586
2008-07-08,91.53376770019531,57.33277130126953,90.86000061035156,36.72993087768555,18.80377960205078,73.09767150878906
2008-07-09,89.77130889892578,57.60533142089844,91.5,36.70496368408203,18.67100715637207,73.11363220214844
2008-07-10,90.13823699951172,57.62480545043945,93.52999877929688,37.703731536865234,18.654407501220703,73.17747497558594
2008-07-11,89.08793640136719,57.08618927001953,95.16000366210938,38.22809600830078,18.529937744140625,73.225341796875
2008-07-14,88.28221130371094,57.39122009277344,95.91000366210938,38.24474334716797,18.49674415588379,73.225341796875
2008-07-15,87.03768920898438,57.59889602661133,96.16999816894531,37.02956771850586,18.480144500732422,73.24126434326172
2008-07-16,89.17424011230469,57.07318878173828,94.44000244140625,36.46359634399414,18.571426391601562,73.2572250366211
2008-07-17,90.06629943847656,56.800621032714844,94.22000122070312,35.6063117980957,18.60462188720703,73.14554595947266
2008-07-18,90.62738800048828,56.60590744018555,94.16999816894531,34.99871826171875,18.60462188720703,73.24126434326172
2008-07-21,90.67774963378906,56.73574447631836,95.12000274658203,35.42320251464844,18.538232803344727,73.17747497558594
2008-07-22,91.70645904541016,56.540992736816406,93.05999755859375,34.64915084838867,18.67100715637207,73.20938110351562
2008-07-23,92.20283508300781,56.450130462646484,90.56999969482422,33.86677932739258,18.745689392089844,73.24126434326172
2008-07-24,90.289306640625,56.93689727783203,91.33000183105469,33.891746520996094,18.729093551635742,73.225341796875
2008-07-25,90.26770782470703,56.60590744018555,91.69000244140625,33.46726608276367,18.75398826599121,73.24126434326172
2008-07-28,88.94405364990234,56.93038558959961,91.7300033569336,33.63372802734375,18.712495803833008,73.24126434326172
2008-07-29,90.84321594238281,56.76815414428711,90.58999633789062,33.25086975097656,18.87016487121582,73.24126434326172
2008-07-30,92.46178436279297,56.87849426269531,89.5199966430664,33.90839385986328,18.85356903076172,73.2572250366211
2008-07-31,91.2388687133789,57.33277130126953,90.08000183105469,33.62540817260742,18.85356903076172,73.2572250366211
2008-08-01,90.75690460205078,57.36148452758789,89.56999969482422,33.25086975097656,18.91165542602539,73.23490142822266
2008-08-04,89.91520690917969,57.322349548339844,88.13999938964844,32.152217864990234,18.919952392578125,73.25082397460938
2008-08-05,92.33952331542969,57.029335021972656,86.08000183105469,31.927490234375,19.06102180480957,73.26679992675781
2008-08-06,92.74958038330078,57.04885482788086,86.63999938964844,31.58624267578125,19.11911392211914,73.23490142822266
2008-08-07,91.36833953857422,57.582862854003906,86.08999633789062,31.761030197143555,19.218687057495117,73.28277587890625
2008-08-08,93.06607055664062,57.55684280395508,84.43000030517578,30.870452880859375,19.525724411010742,73.26679992675781
2008-08-11,94.03005981445312,57.276771545410156,81.12999725341797,30.8371639251709,19.63359832763672,73.28277587890625
2008-08-12,93.05169677734375,57.67402267456055,80.5199966430664,30.570823669433594,19.59210968017578,73.23490142822266
2008-08-13,92.49059295654297,57.550289154052734,81.55999755859375,31.594572067260742,19.59210968017578,73.29875183105469
2008-08-14,93.18836975097656,57.726131439208984,79.3499984741211,31.31990623474121,19.708282470703125,73.28277587890625
2008-08-15,93.64159393310547,57.941070556640625,77.62999725341797,30.895423889160156,19.857654571533203,73.29875183105469
2008-08-18,92.361083984375,58.0843620300293,78.80000305175781,31.070209503173828,19.7995662689209,73.25082397460938
2008-08-19,91.35397338867188,57.999664306640625,80.43000030517578,31.55295181274414,19.708282470703125,73.31470489501953
2008-08-20,91.77837371826172,58.168941497802734,80.05999755859375,31.80263900756836,19.766372680664062,73.31470489501953
2008-08-21,91.93666076660156,58.045257568359375,82.30000305175781,33.16763687133789,19.542316436767578,73.3306884765625
2008-08-22,93.26750946044922,57.87592315673828,81.08000183105469,32.04401397705078,19.741477966308594,73.34667205810547
2008-08-25,91.37553405761719,58.260162353515625,80.93000030517578,31.860902786254883,19.733179092407227,73.3306884765625
2008-08-26,91.64173126220703,58.27969741821289,81.2300033569336,31.87755584716797,19.849353790283203,73.34667205810547
2008-08-27,92.53374481201172,58.36436080932617,81.36000061035156,32.17718505859375,19.791269302368164,73.34667205810547
2008-08-28,93.65596771240234,58.27969741821289,82.18000030517578,31.544633865356445,19.857654571533203,73.34667205810547
2008-08-29,92.6488265991211,58.20808410644531,81.70999908447266,31.428104400634766,19.865949630737305,73.31470489501953
2008-09-02,92.0733413696289,58.52496337890625,79.19999694824219,30.612436294555664,20.056808471679688,73.36748504638672
2008-09-03,91.99420166015625,58.66867446899414,78.88999938964844,30.437654495239258,20.040212631225586,73.36748504638672
